 +4.3492,  +5.7482, +0.062311
 +4.3536,   +5.7495,  +0.061949
 +4.2789,   +5.6221,  +0.076132
 +4.1923,   +5.4517,  +0.093288
 +4.0663,   +5.0834,  +0.12086
  +3.834,    +4.651,  +0.13713
 +3.5799,   +4.0198,  +0.10659
 +3.3028,   +3.3094,  -0.0079271
 +2.9963,   +2.5563,  -0.19493
 +2.6033,   +1.8037,  -0.37417
 +2.2224,     +1.01,  -0.38358
 +1.8139,  +0.24704,  -0.16484
 +1.4421,   -0.5011,  +0.031777
 +1.1329,   -1.0905,  -0.001158
+0.92128,   -1.5269,  -0.13784
+0.73176,   -1.7383,  -0.19464
+0.53988,   -1.7126,  -0.14503
+0.35738,   -1.3116,  +0.16042
+0.33451,  -0.85747,  +0.53058
+0.31207,  -0.38962,  +0.84296
+0.29071,  +0.081726,  +0.94046
+0.27227,  +0.53834,  +0.77639
+0.25501,  +0.97711,  +0.45471
+0.24053,    +1.397,  +0.11432
+0.22788,   +1.7418,    -0.122
 +0.2158,   +1.9634,  -0.23844
+0.20443,   +2.0528,  -0.27644
+0.19096,   +2.0539,  -0.27638
+0.17565,   +1.9374,  -0.22435
 +0.1628,   +1.6543,  -0.062566
+0.14927,   +1.2712,   +0.2253
+0.13467,  +0.85834,  +0.57355
+0.11929,  +0.37493,  +0.90036
+0.10682,  -0.13673,  +0.98007
+0.087137,   -0.6476,  +0.74125
+0.066544,   -1.1466,  +0.33597
+0.042127,   -1.5522,  +0.012829
+0.018831,   -1.8711,  -0.18688
 -0.0033,   -2.1079,  -0.29397
-0.025972,   -2.2308,   -0.3352
-0.049409,   -2.2484,  -0.34041
-0.069281,    -2.212,  -0.32982
-0.086673,   -2.0692,   -0.2797
-0.098347,   -1.8136,  -0.15682
-0.10742,   -1.4709,  +0.07032
  -0.107,   -1.1068,  +0.36725
-0.096882,  -0.69501,   +0.7058
-0.076368,  -0.26237,  +0.95106
-0.049505,  +0.17382,  +0.97839
-0.019687,  +0.60396,   +0.7757
+0.012605,   +1.0116,   +0.4531
+0.044838,   +1.3562,  +0.16241
+0.077484,   +1.6102,  -0.028761
+0.10719,   +1.8402,  -0.17184
+0.13338,   +1.9127,   -0.2106
+0.15327,   +1.8475,  -0.17755
+0.17056,   +1.6772,  -0.077884
+0.18139,   +1.3875,  +0.12869
+0.18517,  +0.96657,  +0.47663
+0.18761,  +0.48251,   +0.8318
+0.18374,  -0.050381,    +0.976
+0.17431,  -0.58619,  +0.77071
 +0.1609,   -1.0943,  +0.37224
+0.14119,   -1.5709,  -0.0045172
+0.11379,   -2.0286,  -0.26352
+0.082755,   -2.3911,  -0.37478
+0.051655,   -2.6597,  -0.40669
+0.021468,   -2.6849,   -0.4077
-0.0071657,   -2.6707,  -0.40715
-0.035339,   -2.5762,  -0.40094
-0.057621,   -2.3075,  -0.35614
-0.079232,    -1.932,  -0.21865
-0.092211,   -1.4322,  +0.10065
-0.095619,  -0.86636,  +0.57125
-0.093383,  -0.26089,   +0.9497
-0.080726,  +0.34859,  +0.91709
-0.066024,  +0.94012,  +0.51202
-0.040898,   +1.4738,  +0.070675
-0.01056,   +1.9339,  -0.21881
+0.024018,   +2.2478,  -0.34011
 +0.0609,   +2.5222,   -0.3953
+0.098002,   +2.7157,  -0.40856
 +0.1312,    +2.871,  -0.40578
+0.15706,   +2.8964,  -0.40424
+0.18036,   +2.7264,  -0.40878
+0.20143,   +2.4588,   -0.3877
+0.21894,   +2.0724,   -0.2848
 +0.2255,   +1.6027,   -0.0332
+0.22845,   +1.0597,  +0.39115
+0.22466,  +0.47324,  +0.82802
+0.20959,  -0.14593,  +0.95716
+0.18684,  -0.76324,  +0.64089
+0.16098,   -1.3488,  +0.16124
+0.12886,   -1.8649,  -0.18587
+0.090207,   -2.2633,   -0.3449
+0.048604,   -2.6186,  -0.40432
+0.0057474,   -2.8181,  -0.40804
-0.033559,   -2.8855,  -0.40514
-0.06634,   -2.8313,   -0.4076
-0.094952,   -2.6332,  -0.40534
-0.12004,   -2.2512,  -0.34194
